phi,LFS
0.392920354,41.49484536
0.504424779,69.45876289
0.610619469,97.42268041
0.690265487,123.5824742
0.801769912,170.4896907
0.902654867,195.7474227
1.003539823,219.2010309
1.099115044,238.1443299
1.2,251.6752577
1.300884956,268.814433
1.412389381,277.8350515
1.518584071,281.443299
1.598230088,284.1494845
1.709734513,284.1494845
1.8,281.443299
1.911504425,277.8350515
1.996460177,278.7371134
2.484955752,249.871134
